transaction_id,payment_date,invoice_number,po_number,vendor_id,vendor_name,amount,category,plant_code,cost_center,related_party,days_overdue,payment_frequency,previous_avg_amount,amount_zscore,amount_ratio,high_value_flag,related_party_risk,overdue_risk_score,composite_risk_score,anomaly_score,anomaly_probability
T100000,2024-05-15,INV-725378,PO-967909,V1017,Vendor_017,50000.0,Maintenance,P001,CC0128,1,30,Quarterly,38604.872667151954,-0.1349584724937685,1.2951732914934313,0,0,1.0,0.6285066248267646,-1,0.1105639820417367
T100001,2025-09-26,INV-968241,PO-585959,V1154,Vendor_154,50000.0,Raw Material,P005,CC0135,0,38,One-off,57625.00194998168,-0.113846535513294,0.867678929423722,0,0,1.2666666666666666,0.4222222222222222,-1,0.020903017647105497
T100002,2025-07-01,INV-623198,PO-719069,V1130,Vendor_130,68596.75802192354,Raw Material,P003,CC0108,0,59,Monthly,54341.240409753394,-0.1060628563189744,1.262333312686243,0,0,1.9666666666666663,0.9178888682417986,-1,0.06656162554916566
T100003,2025-01-25,INV-969783,PO-932519,V1087,Vendor_087,50000.0,IT Services,P001,CC0164,0,1,Ad-hoc,61004.71804772696,-0.1114452859447666,0.8196087384730238,0,0,0.0333333333333333,0.0111111111111111,-1,0.1442536938660729
T100004,2025-01-21,INV-460825,PO-833088,V1086,Vendor_086,52094.61064358999,Services,P007,CC0114,0,56,Monthly,43985.25991777107,-0.1171813495591454,1.1843651882694128,0,0,1.8666666666666667,0.8065874104916351,-1,0.03194291377312195
T100005,2025-11-27,INV-706968,PO-494675,V1171,Vendor_171,74658.47648838379,Utilities,P009,CC0159,0,-2,Quarterly,59446.5987068722,-0.1135519750209663,1.2558914742375842,0,0,0.0,0.2558914742375842,-1,0.1358314305298954
T100006,2024-05-12,INV-558171,PO-283799,V1017,Vendor_017,50292.62169776882,Utilities,P009,CC0142,0,59,Monthly,37344.41499233682,-0.12189431669634,1.346724047172489,0,0,1.9666666666666663,1.0022796027280447,-1,0.08610866918487955
T100007,2025-08-02,INV-893572,PO-224001,V1139,Vendor_139,67038.99838932637,Logistics,P002,CC0174,0,99,One-off,75540.82227670123,-0.1094759044362587,0.8874539139085192,0,0,3.0,1.0,-1,0.006797533098543978
T100008,2024-08-05,INV-682516,PO-427382,V1040,Vendor_040,132768.7574272952,Packaging,P009,CC0140,0,116,Quarterly,107771.35665187617,-0.0990729842529246,1.2319484652695412,0,0,3.0,1.2319484652695412,-1,0.1310435610437797
T100009,2024-05-18,INV-494593,PO-698903,V1018,Vendor_018,54944.04597766941,Services,P005,CC0165,0,99,One-off,44977.23379690326,-0.1162959326924255,1.221596824423924,0,0,3.0,1.221596824423924,-1,0.05442551669651814
T100010,2025-03-30,INV-320207,PO-818658,V1105,Vendor_105,107976.50162208156,Raw Material,P003,CC0193,0,66,Monthly,86577.4985088077,-0.0895804516666776,1.2471658742958127,0,0,2.2,0.9804992076291462,-1,0.1042328248897218
T100011,2026-02-21,INV-382063,PO-128237,V1195,Vendor_195,79196.3137891985,Logistics,P002,CC0125,1,86,Ad-hoc,69968.1275369717,-0.1039193254269535,1.1318912850333254,0,0,2.8666666666666667,1.087446840588881,-1,0.0448293290970417
T100012,2025-08-30,INV-167301,PO-515843,V1147,Vendor_147,50000.0,Utilities,P008,CC0111,0,-5,Quarterly,63236.34302385181,-0.1219945040365911,0.7906845590539722,0,0,0.0,0.0,-1,0.1697794348518954
T100013,2025-09-17,INV-238931,PO-946102,V1152,Vendor_152,50000.0,IT Services,P003,CC0160,0,78,One-off,49598.65033772967,-0.1114452859447666,1.0080919472513352,0,0,2.6,0.8747586139180019,-1,0.02599516505374293
